Nominated Position Location (State),Nominated Occupation (Major Group),3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020,12/31/2020,3/31/2021,6/30/2021,9/30/2021,12/31/2021,3/31/2022,6/30/2022,9/30/2022,12/31/2022
VIC,Not Applicable,"16,955","16,801","17,624","16,616","18,945","18,823","19,474","17,999","20,005","19,670","20,107","18,268","19,417","19,037","19,522","17,780","19,127","18,384","18,105","16,583","17,367","16,325","16,931","16,236","17,602","16,316","15,768","14,671","16,196","14,998","13,677","12,650","11,776","11,168","10,729","10,563","11,251","11,059","12,322","12,913"
VIC,Not Specified,,,,,,,,,,,,,,,,5,12,34,47,53,62,88,111,159,194,224,261,259,268,267,270,281,273,262,257,247,242,263,249,250
VIC,Skilled Meat Worker,26,25,16,15,6,6,5,8,12,9,10,10,10,36,71,68,111,124,125,143,141,180,177,175,173,175,167,166,166,128,110,100,67,58,55,34,31,<5,,
WA,1 Managers,"3,385","3,423","3,428","2,851","3,497","3,383","3,371","2,725","3,278","3,087","2,963","2,387","2,615","2,358","2,326","1,874","2,076","1,854","1,805","1,482","1,591","1,481","1,447","1,197","1,347","1,212","1,085",894,"1,095",971,883,826,826,796,777,741,740,735,768,721
WA,2 Professionals,"8,958","8,657","8,462","6,148","7,821","7,071","6,722","4,985","5,968","5,425","5,176","3,886","4,493","3,899","3,896","3,113","3,626","3,248","3,441","2,791","3,051","2,935","3,166","2,645","3,035","2,809","2,866","2,484","3,080","2,879","2,700","2,705","2,664","2,515","2,457","2,412","2,555","2,494","2,830","2,645"
WA,3 Technicians and Trades Workers,"9,349","9,710","9,766","7,018","9,719","9,525","9,403","6,957","8,627","8,301","7,895","5,970","6,750","6,106","5,684","4,538","5,026","4,586","4,462","3,495","3,715","3,590","3,686","3,225","3,551","3,310","3,216","2,703","3,180","2,902","2,728","2,669","2,693","2,714","2,705","2,676","2,726","2,809","3,006","2,932"
WA,4 Community and Personal Service Workers,250,263,265,253,289,281,274,241,270,259,258,239,250,254,240,219,217,199,194,162,173,170,173,164,180,154,143,107,130,112,99,92,93,100,101,98,93,96,104,101
WA,5 Clerical and Administrative Workers,871,949,934,640,807,737,689,476,566,484,398,238,276,220,181,129,123,109,97,87,94,85,89,67,80,73,63,51,65,56,41,35,36,35,35,33,28,26,30,26
WA,6 Sales Workers,49,68,82,79,94,105,109,104,120,128,135,125,131,133,130,118,105,93,85,85,83,77,71,68,63,52,53,44,50,46,41,38,34,29,28,25,21,19,22,19
WA,7 Machinery Operators and Drivers,225,217,210,150,185,194,189,138,176,140,143,101,107,107,93,76,108,106,111,90,94,91,82,68,82,81,77,54,72,70,60,41,42,37,39,34,34,38,53,56
WA,8 Labourers,63,69,69,64,62,78,89,86,101,118,119,110,119,112,122,113,173,128,138,135,173,140,124,79,107,99,93,54,83,76,68,55,53,54,58,28,46,57,70,52
WA,Not Applicable,"19,936","19,200","19,506","16,681","19,455","18,200","17,631","14,857","16,379","15,323","14,452","12,066","13,068","11,655","11,272","9,737","10,453","9,236","9,143","7,936","8,316","7,629","7,864","7,219","7,891","7,176","6,848","6,280","7,279","6,725","6,172","5,952","5,805","5,617","5,418","5,368","5,600","5,574","6,286","6,551"
WA,Not Specified,<5,<5,,,,,,,,,,,<5,5,13,14,15,21,21,21,24,26,32,41,51,60,70,73,86,83,85,91,91,89,91,73,75,72,66,83
WA,Skilled Meat Worker,26,29,32,32,26,27,33,32,31,42,43,42,44,48,53,40,65,69,86,55,79,96,96,53,91,86,81,37,59,55,51,41,28,23,12,10,7,,,
Not Specified,1 Managers,48,44,43,32,33,30,24,17,18,18,10,6,8,5,<5,<5,5,<5,5,5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,,,,,,,<5
Not Specified,2 Professionals,92,76,67,38,47,41,34,22,26,20,14,8,9,7,7,5,<5,21,56,43,37,27,18,12,7,5,5,<5,<5,<5,<5,<5,<5,,,,,,,
Not Specified,3 Technicians and Trades Workers,67,67,66,50,50,43,35,19,25,19,13,12,9,5,<5,<5,6,10,11,10,12,8,<5,<5,<5,<5,<5,<5,<5,<5,<5,,,,,,,,,
Not Specified,4 Community and Personal Service Workers,<5,<5,<5,<5,<5,<5,,,,,,<5,<5,<5,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Specified,5 Clerical and Administrative Workers,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,,,,,,,,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,,,<5,<5,<5,,,,,,
Not Specified,6 Sales Workers,<5,<5,<5,<5,<5,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Specified,7 Machinery Operators and Drivers,,<5,<5,<5,,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Specified,Not Applicable,"1,368","1,182","1,040",804,795,673,535,387,349,254,173,105,99,66,53,29,39,29,57,47,90,72,59,43,43,40,26,23,19,19,15,9,9,6,<5,<5,<5,6,7,11
Not Specified,Not Specified,69,66,65,47,62,38,40,36,33,32,32,28,26,16,18,16,15,15,19,12,44,33,27,19,18,18,12,9,7,8,6,6,6,5,<5,<5,<5,<5,<5,<5
Not Specified,Skilled Meat Worker,<5,<5,<5,<5,<5,<5,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Specified,,"1,655","1,447","1,291",978,995,833,671,484,453,344,242,160,152,100,86,57,69,80,151,118,189,145,112,83,75,70,49,42,35,33,26,19,19,12,6,<5,5,8,9,14
